obs,Customer,Please indicate how important the following factors are when you visit a restaurant  - Convenient place to eat,Please indicate how important the following factors are when you visit a restaurant  - Variety of menu options,Please indicate how important the following factors are when you visit a restaurant  - Good value for money,Please indicate how important the following factors are when you visit a restaurant  - Healthy menu options,Please indicate how important the following factors are when you visit a restaurant  - Food taste and satisfaction,Please indicate how important the following factors are when you visit a restaurant  - Friendly staff,Please indicate how important the following factors are when you visit a restaurant  - Pleasant ambiance,Please indicate how important the following factors are when you visit a restaurant  - Consistency / reliability,Please indicate how important the following factors are when you visit a restaurant  - Part of community,What is your gender?,What is your age?,What is your approximate average annual household income?,"How many children, by age, currently live in your household? - less than 12 years old","How many children, by age, currently live in your household? - 12-17 years old","How many children, by age, currently live in your household? - 18 and older",What is your profession? - Accountant,What is your profession? - Lawyer,What is your profession? - General purpose contractor,What is your profession? - Design,What is your profession? - Educator,What is your profession? - Homemaker,What is your profession? - Business professional,In what activities or hobbies do you participate yourself? - Volunteer work,In what activities or hobbies do you participate yourself? - Tennis,In what activities or hobbies do you participate yourself? - Swimming,In what activities or hobbies do you participate yourself? - Skiing / snow boarding,In what activities or hobbies do you participate yourself? - Running,In what activities or hobbies do you participate yourself? - Hiking,In what activities or hobbies do you participate yourself? - Golf,In what activities or hobbies do you participate yourself? - Gardening,In what activities or hobbies do you participate yourself? - Fishing,In what activities or hobbies do you participate yourself? - Camping,In what activities or hobbies do you participate yourself? - Bicycling,In what activities or hobbies do you participate yourself? - Yoga,In what activities or hobbies do you participate yourself? - Book clubs,In what activities or hobbies do you participate yourself? - Eating out,In what activities or hobbies do you participate yourself? - Attending local sports events,In what activities or hobbies do you participate yourself? - Visiting museums,In what activities or hobbies do you participate yourself? - Kid's activities
144,0,2,1,1,1,1,1,1,2,1,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
148,0,1,2,1,5,1,3,3,3,5,2,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,0,2,2,1,2,1,2,2,1,3,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,2,2,2,2,2,2,2,2,2,1,3,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,0,1,1,1,3,1,2,2,1,2,1,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,0,2,1,1,3,1,2,2,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
176,0,1,1,1,2,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
177,0,1,2,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
178,0,2,2,3,1,1,1,1,1,2,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
180,0,1,2,1,2,1,2,2,1,2,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
220,0,2,2,1,2,2,2,3,2,2,2,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,2,1,1,1,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
243,0,1,2,2,1,1,2,2,1,3,1,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0
244,0,2,1,1,2,1,1,1,1,2,1,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
251,0,1,2,1,3,1,1,3,2,3,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
252,0,2,3,1,1,1,1,1,1,5,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26,0,1,2,2,2,1,1,2,1,2,2,3,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1
40,0,2,2,1,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,0,2,2,1,1,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
52,0,1,2,1,3,1,1,2,3,3,2,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0,2,1,1,4,1,1,2,2,2,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
62,0,2,2,1,5,1,2,2,2,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
73,0,1,1,1,3,1,2,2,1,3,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,0,2,1,1,2,1,1,1,1,2,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
94,0,1,2,1,2,2,2,2,2,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0,3,2,2,3,1,1,1,1,3,1,3,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,0,1,1,1,1,1,1,2,2,3,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
115,0,2,1,1,1,1,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
119,0,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,1,1,1,3,1,1,2,1,3,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,0,2,2,1,1,1,2,2,2,2,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
132,0,2,2,1,1,1,2,2,2,3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
161,0,3,3,3,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,0,2,2,2,3,2,3,4,2,5,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,0,4,1,1,4,1,3,3,1,4,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,0,3,2,1,2,1,2,3,1,2,1,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175,0,2,1,1,3,1,2,2,2,1,1,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,0,2,2,1,2,2,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,0,2,2,2,2,2,2,2,2,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,0,2,1,1,2,1,1,1,1,3,1,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
191,0,3,2,2,2,1,1,2,1,3,1,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
218,0,2,2,2,2,2,2,2,2,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
226,0,1,1,1,2,1,2,2,1,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
228,0,2,2,2,3,1,1,1,1,3,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,2,2,1,4,2,2,2,2,4,1,4,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0
245,0,2,2,1,1,1,2,3,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
249,0,2,1,2,2,1,2,2,1,2,1,4,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
265,0,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
4,0,1,2,1,2,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,0,1,1,1,2,1,1,1,1,3,1,1,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,0,1,1,1,3,1,1,1,1,3,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,0,1,2,2,3,1,2,3,2,2,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
25,0,3,4,2,1,1,2,2,1,3,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
30,0,1,1,1,5,1,1,1,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,0,1,1,1,2,1,1,1,1,3,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,0,2,2,2,2,1,2,2,2,2,1,3,3,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
59,0,1,2,2,2,1,1,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,3,1,1,1,1,1,1,1,2,1,4,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
64,0,1,1,1,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
65,0,2,1,1,1,1,2,2,2,3,2,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,2,2,2,2,2,2,2,2,3,1,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,0,2,2,2,2,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
93,0,2,1,1,2,2,2,3,2,3,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,0,1,2,1,2,1,2,2,2,2,1,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
108,0,1,1,1,1,1,1,1,1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,0,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,0,1,1,2,4,1,1,1,1,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
141,0,1,1,1,1,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,0,2,1,2,4,1,2,2,1,3,1,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
158,0,1,1,1,1,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,0,2,2,1,2,1,1,1,1,2,1,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
184,0,2,3,2,3,2,2,3,2,2,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
186,0,1,1,1,1,1,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,0,2,2,1,2,1,1,1,1,3,2,3,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
199,0,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
202,0,2,1,1,2,1,2,2,1,2,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
205,0,2,2,1,2,1,2,2,2,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,0,2,3,1,1,1,3,3,2,4,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
216,0,3,2,2,3,1,3,3,2,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
217,0,1,1,1,2,1,1,2,2,2,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
225,0,3,2,3,2,1,1,1,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,5,2,1,5,1,3,5,2,3,1,3,3,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
253,0,2,2,1,3,1,1,1,1,3,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
254,0,2,1,1,1,1,1,1,1,2,1,3,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0
3,0,2,1,1,2,1,1,1,1,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
13,0,1,1,1,1,1,2,2,1,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,0,1,1,1,1,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,3,2,1,1,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,0,1,1,1,2,1,1,1,1,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
53,0,1,2,2,4,2,3,3,1,5,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,0,2,2,1,2,2,1,2,1,2,1,3,1,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
78,0,3,1,1,2,1,1,1,2,2,1,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
79,0,2,3,2,4,1,3,3,2,3,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
92,0,2,1,1,2,1,1,2,1,2,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,0,3,2,1,1,1,1,1,1,1,2,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
109,0,2,2,1,2,1,2,2,1,3,1,1,3,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
110,0,1,1,1,1,1,1,1,3,3,1,2,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,0,3,1,1,1,1,1,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
130,0,3,2,2,2,1,1,2,1,3,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,0,2,2,1,3,1,3,3,2,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
139,0,2,2,2,2,2,2,2,2,2,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,0,2,2,1,2,1,1,1,1,2,1,3,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
150,0,2,1,1,1,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
157,0,1,1,1,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
162,0,2,2,1,1,1,1,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,0,1,1,2,1,1,1,1,1,3,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,0,1,1,1,2,1,1,1,1,1,1,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
187,0,1,1,1,2,1,1,1,1,2,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
193,0,1,1,1,1,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
213,0,1,2,1,2,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,0,2,2,2,2,1,2,1,1,3,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
241,0,1,1,1,1,1,1,1,1,1,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
250,0,1,3,1,5,1,5,3,1,5,2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
255,0,2,2,1,2,1,2,2,2,3,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
258,0,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,1,1,2,1,1,1,2,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0
306,1,1,3,1,4,1,2,2,2,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
314,1,1,1,1,1,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0
332,1,1,2,1,1,1,2,2,2,2,1,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
346,1,2,2,1,1,1,2,2,1,2,1,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1
347,1,1,2,2,2,1,2,2,1,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
